nome,peso_carregamento,agua,luz,CO2,cat
OvosDoCampo,1000,2,4,4,Ovos
AlfaceOrganica,500,3,2,3,Vegetais
MacaVerde,800,2,2,3,Frutas
FrangoAssado,1200,4,3,5,Carnes
TofuBio,600,1,2,1,Proteinas vegetais
SardinhasFrescas,1000,3,2,4,Peixe
ArrozIntegral,2000,5,3,2,Cereais
ChocolateNegro,200,2,4,2,Chocolates
VinhoTinto,1500,3,4,6,Bebidas Alcoolicas
LaranjaNatural,1000,3,3,3,Frutas
CouveFlor,800,3,2,3,Vegetais
PeraDourada,900,2,2,3,Frutas
BifeVaca,1200,5,4,6,Carnes
SeitanBio,700,1,2,1,Proteinas vegetais
DouradaFresca,900,3,2,4,Peixe
MassaIntegral,1500,4,3,2,Cereais
ChocolateBranco,250,2,4,3,Chocolates
CervejaArtisanal,1000,4,5,7,Bebidas Alcoolicas
SumoLaranja,1200,2,3,2,Sumos
PaoRustico,1000,3,4,3,Pao
TomateCrescido,600,3,2,3,Vegetais
CenouraOrganica,800,2,2,3,Vegetais
MangaMadura,700,2,2,3,Frutas
LomboDePorco,1500,5,4,6,Carnes
FeijaoPreto,1000,6,4,3,Proteinas vegetais
BacalhauFresco,1200,3,3,5,Peixe
AveiaIntegral,1500,4,3,2,Cereais
BiscoitosDeChocolate,400,2,3,3,Chocolates
GinTonic,1200,3,5,6,Bebidas Alcoolicas
SumoMaca,1000,2,3,2,Sumos
PaoIntegral,800,3,4,3,Pao
BrocolisFrescos,700,3,2,3,Vegetais
UvaVerde,800,2,2,3,Frutas
CarneDeFrango,1100,4,3,5,Carnes
Lentilhas,1200,5,3,3,Proteinas vegetais
AtumEmConserva,600,3,2,4,Peixe
MilhoIntegral,1500,5,3,2,Cereais
ChocolateAmargo,200,2,4,2,Chocolates
CervejaPilsner,1000,3,4,5,Bebidas Alcoolicas
SumoDeCenoura,1100,2,3,2,Sumos
PaoDeMilho,800,3,4,3,Pao
RuculaFresca,400,3,2,3,Vegetais
KiwiFresco,600,2,2,3,Frutas
AlcatraDeVaca,1400,5,4,6,Carnes
GrãoDeBico,1000,6,4,3,Proteinas vegetais
PargoFresco,1100,3,3,5,Peixe
CuscuzIntegral,1500,4,3,2,Cereais
TrufasDeChocolate,150,2,4,2,Chocolates
VinhoBranco,1200,3,4,5,Bebidas Alcoolicas
SumoDeMelancia,1200,2,3,2,Sumos
PaoDeAveia,1000,3,4,3,Pao
CebolaRoxa,500,3,2,3,Vegetais
CabelinhoDeMilho,600,2,2,3,Frutas
AlcatraDeFrango,1300,4,3,5,Carnes
AmendoimTorrado,600,2,3,2,Proteinas vegetais
TrutaFresca,800,3,2,4,Peixe
MijoIntegral,1500,5,3,2,Cereais
BarrasDeChocolate,200,2,3,2,Chocolates
Tequila,1000,3,5,7,Bebidas Alcoolicas
SumoDeUva,1100,2,3,2,Sumos
PaoDeBatata,900,3,4,3,Pao
PepinoFresco,500,3,2,3,Vegetais
MorangoNatural,700,2,2,3,Frutas
ChurrascoDeVaca,1500,5,4,6,Carnes
Edamame,800,4,3,3,Proteinas vegetais
RobaloFresco,1100,3,3,5,Peixe
CerealMatinal,1500,4,3,2,Cereais
BarrasDeChocolateBranco,200,2,4,3,Chocolates
RumEscuro,1200,4,5,6,Bebidas Alcoolicas
SumoDeLimão,1000,2,3,2,Sumos
PaoDeAveia,900,3,4,3,Pao
CebolaRoxa,500,3,2,3,Vegetais
AmeixaFresca,500,2,2,3,Frutas
AlcatraDeFrango,1300,4,3,5,Carnes
AmendoimTorrado,600,2,3,2,Proteinas vegetais
TrutaFresca,800,3,2,4,Peixe
MijoIntegral,1500,5,3,2,Cereais
BarrasDeChocolate,200,2,3,2,Chocolates
Tequila,1000,3,5,7,Bebidas Alcoolicas
SumoDeUva,1100,2,3,2,Sumos
PaoDeBatata,900,3,4,3,Pao
